,id,startTime,endTime,downtime,orderStart,orderEnd,stopUpdatedTime,stopUpdatedBy,categoryName,causeOne,causeTwo,causeThree,causeFour,causeFive,childDeviceName,deviceName,shiftName,shiftStartTime,shiftEndTime,deviceDataId,orderId,mainStopId,skuName,comment,reasonOne,reasonTwo,Status
69,69,,,3301,02/20/2024 21:04:27,02/20/2024 22:59:48,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,471,,undefined,,,,
70,70,,,23623,02/21/2024 07:00:12,02/21/2024 14:59:56,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,A,07:00:00,15:00:00,,472,,undefined,,,,
71,71,,,18202,02/21/2024 15:00:16,02/21/2024 22:59:40,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,473,,undefined,,,,
72,72,,,4361,02/21/2024 23:00:00,02/22/2024 06:29:44,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,C,23:00:00,07:00:00,,474,,undefined,,,,
73,73,,,18202,02/21/2024 15:00:16,02/21/2024 22:59:40,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,475,,undefined,,,,
74,74,,,4221,02/22/2024 07:00:04,02/22/2024 11:30:06,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,A,07:00:00,15:00:00,,476,,undefined,,,,
75,75,,,3400,02/22/2024 11:31:06,02/22/2024 14:59:48,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,A,07:00:00,15:00:00,,478,,PET (400),,,,
76,76,,,3841,02/22/2024 15:00:08,02/22/2024 22:59:52,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,479,,PET (400),,,,
77,77,,,11443,02/22/2024 23:00:12,02/23/2024 05:36:15,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,C,23:00:00,07:00:00,,480,,PET (400),,,,
78,78,,,5089,02/23/2024 07:00:04,02/23/2024 08:40:53,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,A,07:00:00,15:00:00,,481,,PET (400),,,,
79,79,,,140,02/23/2024 08:41:13,02/23/2024 08:45:53,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,A,07:00:00,15:00:00,,482,,PET (400),,,,
80,80,,,7881,02/23/2024 08:46:13,02/23/2024 14:59:56,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,A,07:00:00,15:00:00,,483,,PET (400),,,,
81,81,,,60,02/23/2024 15:00:16,02/23/2024 16:36:17,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,484,,PET (400),,,,
82,82,,,9900,02/23/2024 16:36:37,02/23/2024 22:59:40,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,485,,undefined,,,,
83,83,,,0,02/23/2024 23:00:00,02/23/2024 23:11:40,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,C,23:00:00,07:00:00,,487,,undefined,,,,
84,84,,,0,02/23/2024 23:12:00,02/23/2024 23:12:20,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,C,23:00:00,07:00:00,,488,,PET (400),,,,
85,85,,,1440,02/24/2024 07:00:04,02/24/2024 08:23:25,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,A,07:00:00,15:00:00,,489,,PET (400),,,,
86,86,,,12201,02/24/2024 08:23:45,02/24/2024 13:50:47,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,A,07:00:00,15:00:00,,490,,PET (400),,,,
87,87,,,0,02/24/2024 08:28:25,02/24/2024 08:32:45,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,A,07:00:00,15:00:00,,491,,PET (400),,,,
88,88,,,0,02/24/2024 08:33:05,02/24/2024 08:33:45,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,A,07:00:00,15:00:00,,492,,PET (400),,,,
89,89,,,6240,02/24/2024 08:36:25,02/24/2024 11:54:26,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,A,07:00:00,15:00:00,,493,,PET (400),,,,
90,90,,,4546,02/24/2024 11:55:06,02/24/2024 13:50:27,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,A,07:00:00,15:00:00,,494,,PET (400),,,,
91,91,,,4406,02/24/2024 11:55:06,02/24/2024 13:50:27,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,A,07:00:00,15:00:00,,495,,PET (400),,,,
92,92,,,3581,02/24/2024 13:51:07,02/24/2024 14:59:48,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,A,07:00:00,15:00:00,,496,,PET (400),,,,
93,93,,,3581,02/24/2024 13:51:07,02/24/2024 14:59:48,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,A,07:00:00,15:00:00,,497,,PET (400),,,,
94,94,,,2566,02/24/2024 15:00:08,02/24/2024 16:16:29,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,498,,PET (400),,,,
95,95,,,0,02/24/2024 16:16:49,02/24/2024 16:17:09,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,499,,PET (400),,,,
96,96,,,380,02/24/2024 16:17:29,02/24/2024 16:55:49,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,500,,undefined,,,,
97,97,,,9562,02/24/2024 16:56:09,02/24/2024 20:52:51,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,501,,undefined,,,,
98,98,,,4659,02/24/2024 20:53:11,02/24/2024 22:59:52,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,502,,undefined,,,,
99,99,,,400,02/24/2024 23:00:12,02/24/2024 23:08:52,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,C,23:00:00,07:00:00,,503,,undefined,,,,
100,100,,,10780,02/25/2024 07:00:16,02/25/2024 14:59:40,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,A,07:00:00,15:00:00,,504,,undefined,,,,
101,101,,,6166,02/25/2024 15:00:00,02/25/2024 20:46:43,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,505,,undefined,,,,
102,102,,,5486,02/25/2024 15:00:00,02/25/2024 20:46:43,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,506,,undefined,,,,
103,103,,,240,02/27/2024 14:55:04,02/27/2024 14:59:44,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,A,07:00:00,15:00:00,,507,,PET (400),,,,
104,104,,,15445,02/27/2024 15:00:04,02/27/2024 22:59:48,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,508,,PET (400),,,,
105,105,,,16823,02/28/2024 07:00:12,02/28/2024 14:59:56,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,A,07:00:00,15:00:00,,509,,PET (400),,,,
106,106,,,15982,02/28/2024 15:00:16,02/28/2024 22:15:00,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,510,,PET (400),,,,
107,107,,,400,02/29/2024 11:45:47,02/29/2024 12:15:47,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,A,07:00:00,15:00:00,,511,,LDPE (400),,,,
108,108,,,7221,02/29/2024 12:18:47,02/29/2024 14:59:29,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,A,07:00:00,15:00:00,,512,,LDPE (400),,,,
109,109,,,14964,02/29/2024 15:00:09,02/29/2024 22:59:53,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,513,,LDPE (400),,,,
110,110,,,8140,03/01/2024 17:57:42,03/01/2024 22:59:45,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,514,,PET (400),,,,
111,111,,,2920,03/01/2024 23:00:05,03/01/2024 23:59:45,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,C,23:00:00,07:00:00,,515,,PET (400),,,,
112,112,,,14461,03/02/2024 00:00:05,03/02/2024 06:59:49,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,C,23:00:00,07:00:00,,516,,PET (400),,,,
113,113,,,9960,03/02/2024 07:00:09,03/02/2024 14:59:53,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,A,07:00:00,15:00:00,,517,,PET (400),,,,
114,114,,,140,03/02/2024 15:00:13,03/02/2024 15:06:53,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,518,,PET (400),,,,
